Designator,Footprint,Quantity,Value,LCSC Part #
C1,402,1,220nF,C7503518
D1,805,1,LED,C965820
R1,402,1,47Ω,C49653152
U1,TSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,1,NT3H2111W0FHKH,C710403
